away_team,away_points,home_team,home_points,n_ot
Milwaukee Bucks,82,Toronto Raptors,124,0
Cleveland Cavaliers,78,Washington Wizards,91,0
Toronto Raptors,110,Cleveland Cavaliers,93,0
Dallas Mavericks,92,Houston Rockets,95,0
Phoenix Suns,106,Indiana Pacers,83,0
Washington Wizards,111,Milwaukee Bucks,100,0
Sacramento Kings,113,Minnesota Timberwolves,101,0
Philadelphia 76ers,83,New York Knicks,91,0
Miami Heat,99,Orlando Magic,92,0
Brooklyn Nets,87,San Antonio Spurs,99,0
New Orleans Pelicans,106,Utah Jazz,94,0
Portland Trail Blazers,94,Boston Celtics,88,0
Denver Nuggets,101,Los Angeles Lakers,94,1
Los Angeles Clippers,91,Memphis Grizzlies,107,0
Charlotte Hornets,93,Miami Heat,94,0
Golden State Warriors,91,Oklahoma City Thunder,86,0
Los Angeles Clippers,113,Charlotte Hornets,92,0
Orlando Magic,74,Cleveland Cavaliers,106,0
Indiana Pacers,111,Dallas Mavericks,100,0
New York Knicks,86,Houston Rockets,91,0
Portland Trail Blazers,114,Philadelphia 76ers,104,0
Phoenix Suns,100,Toronto Raptors,104,0
Chicago Bulls,97,Utah Jazz,95,0
Chicago Bulls,109,Denver Nuggets,114,0
Golden State Warriors,114,Miami Heat,97,0
Detroit Pistons,86,Milwaukee Bucks,98,0
Sacramento Kings,99,New Orleans Pelicans,89,0
Atlanta Hawks,106,Washington Wizards,102,0
Toronto Raptors,126,Atlanta Hawks,115,0
Portland Trail Blazers,105,Charlotte Hornets,97,0
Washington Wizards,87,Cleveland Cavaliers,113,0
New York Knicks,102,Dallas Mavericks,109,1
Los Angeles Clippers,104,Detroit Pistons,98,0
Sacramento Kings,89,Houston Rockets,102,0
Memphis Grizzlies,99,Los Angeles Lakers,93,0
Milwaukee Bucks,103,Minnesota Timberwolves,86,0
Utah Jazz,82,Oklahoma City Thunder,97,0
Golden State Warriors,111,Orlando Magic,96,0
Brooklyn Nets,99,Philadelphia 76ers,91,0
Denver Nuggets,112,Phoenix Suns,120,0
Indiana Pacers,100,San Antonio Spurs,106,0
New Orleans Pelicans,91,Atlanta Hawks,100,0
Chicago Bulls,109,Boston Celtics,102,0
Golden State Warriors,106,Charlotte Hornets,101,0
Phoenix Suns,97,Denver Nuggets,122,0
Milwaukee Bucks,104,Detroit Pistons,88,0
Los Angeles Clippers,102,Houston Rockets,85,0
Orlando Magic,83,Indiana Pacers,98,0
Minnesota Timberwolves,120,Los Angeles Lakers,119,0
New York Knicks,78,Oklahoma City Thunder,105,0
Memphis Grizzlies,112,Portland Trail Blazers,99,0
Sacramento Kings,104,San Antonio Spurs,112,0
Dallas Mavericks,106,Toronto Raptors,102,0
Charlotte Hornets,75,Atlanta Hawks,105,0
Indiana Pacers,97,Cleveland Cavaliers,109,0
Houston Rockets,117,Milwaukee Bucks,103,0
Dallas Mavericks,110,Philadelphia 76ers,103,0
Los Angeles Clippers,112,Utah Jazz,96,0
New Orleans Pelicans,80,Washington Wizards,83,0
San Antonio Spurs,111,Boston Celtics,89,0
Chicago Bulls,102,Brooklyn Nets,84,0
Golden State Warriors,104,Detroit Pistons,93,0
Toronto Raptors,122,Los Angeles Lakers,129,1
Miami Heat,86,New York Knicks,79,0
Orlando Magic,93,Phoenix Suns,90,0
Minnesota Timberwolves,93,Portland Trail Blazers,107,0
Memphis Grizzlies,97,Sacramento Kings,85,0
Minnesota Timberwolves,101,Los Angeles Clippers,127,0
San Antonio Spurs,109,Philadelphia 76ers,103,0
Denver Nuggets,103,Utah Jazz,101,0
Miami Heat,86,Washington Wizards,107,0
Boston Celtics,105,Atlanta Hawks,109,0
Dallas Mavericks,132,Chicago Bulls,129,2
Milwaukee Bucks,108,Cleveland Cavaliers,111,0
Portland Trail Blazers,105,Denver Nuggets,103,0
Los Angeles Lakers,106,Detroit Pistons,96,0
Orlando Magic,97,Golden State Warriors,98,0
Oklahoma City Thunder,104,New Orleans Pelicans,112,0
Brooklyn Nets,98,New York Knicks,93,0
Indiana Pacers,99,Phoenix Suns,116,0
Toronto Raptors,117,Sacramento Kings,109,0
Detroit Pistons,102,Boston Celtics,109,1
San Antonio Spurs,93,Brooklyn Nets,95,1
Chicago Bulls,102,Charlotte Hornets,95,0
Memphis Grizzlies,96,Houston Rockets,105,0
Orlando Magic,86,Los Angeles Clippers,114,0
Atlanta Hawks,112,Miami Heat,102,0
Dallas Mavericks,107,Milwaukee Bucks,105,0
Philadelphia 76ers,85,Minnesota Timberwolves,77,0
Toronto Raptors,123,Utah Jazz,104,0
Los Angeles Lakers,95,Washington Wizards,111,0
New Orleans Pelicans,85,Golden State Warriors,112,0
Cleveland Cavaliers,90,New York Knicks,87,0
Indiana Pacers,82,Portland Trail Blazers,88,0
Los Angeles Lakers,96,Boston Celtics,113,0
Atlanta Hawks,98,Brooklyn Nets,75,0
New York Knicks,102,Charlotte Hornets,103,0
Phoenix Suns,118,Dallas Mavericks,106,0
San Antonio Spurs,107,Memphis Grizzlies,101,0
Miami Heat,85,Milwaukee Bucks,109,0
Houston Rockets,114,Minnesota Timberwolves,112,1
Oklahoma City Thunder,103,Philadelphia 76ers,91,0
Indiana Pacers,101,Sacramento Kings,102,1
Cleveland Cavaliers,105,Toronto Raptors,91,0
Orlando Magic,98,Utah Jazz,93,0
Denver Nuggets,89,Washington Wizards,119,0
Golden State Warriors,112,Chicago Bulls,102,0
Philadelphia 76ers,108,Detroit Pistons,101,1
Phoenix Suns,95,Houston Rockets,100,0
New Orleans Pelicans,100,Los Angeles Clippers,120,0
Orlando Magic,105,Sacramento Kings,96,0
Minnesota Timberwolves,101,San Antonio Spurs,123,0
Denver Nuggets,84,Atlanta Hawks,96,0
Washington Wizards,93,Boston Celtics,101,0
Milwaukee Bucks,102,Dallas Mavericks,125,0
Oklahoma City Thunder,96,Detroit Pistons,94,0
New Orleans Pelicans,104,Los Angeles Lakers,87,0
Miami Heat,87,Memphis Grizzlies,103,0
Portland Trail Blazers,103,New York Knicks,99,0
Cleveland Cavaliers,110,Brooklyn Nets,88,0
Atlanta Hawks,108,Indiana Pacers,92,0
Phoenix Suns,120,Los Angeles Clippers,121,1
Golden State Warriors,102,Minnesota Timberwolves,86,0
Utah Jazz,92,Sacramento Kings,101,0
Denver Nuggets,107,Toronto Raptors,112,1
Boston Celtics,132,Washington Wizards,133,2
Toronto Raptors,101,Cleveland Cavaliers,105,0
Portland Trail Blazers,98,Detroit Pistons,86,0
Sacramento Kings,95,Los Angeles Lakers,98,0
Dallas Mavericks,105,Memphis Grizzlies,114,0
New York Knicks,93,New Orleans Pelicans,104,0
Milwaukee Bucks,101,Oklahoma City Thunder,114,0
Miami Heat,103,Phoenix Suns,97,0
San Antonio Spurs,96,Utah Jazz,100,0
Philadelphia 76ers,79,Atlanta Hawks,95,0
Brooklyn Nets,80,Chicago Bulls,105,0
Boston Celtics,87,Charlotte Hornets,96,0
New Orleans Pelicans,107,Dallas Mavericks,112,0
Miami Heat,82,Denver Nuggets,102,0
Houston Rockets,93,Golden State Warriors,105,0
Los Angeles Clippers,103,Indiana Pacers,96,0
Portland Trail Blazers,82,Minnesota Timberwolves,90,0
Washington Wizards,91,Orlando Magic,89,0
New York Knicks,95,San Antonio Spurs,109,0
Cleveland Cavaliers,94,Oklahoma City Thunder,103,0
Houston Rockets,113,Sacramento Kings,109,1
Orlando Magic,81,Atlanta Hawks,87,0
New York Knicks,101,Boston Celtics,95,0
Philadelphia 76ers,70,Brooklyn Nets,88,0
Portland Trail Blazers,106,Chicago Bulls,115,0
Charlotte Hornets,107,Memphis Grizzlies,113,2
Oklahoma City Thunder,111,Minnesota Timberwolves,92,0
Cleveland Cavaliers,114,New Orleans Pelicans,119,0
Detroit Pistons,105,Phoenix Suns,103,0
Los Angeles Lakers,112,San Antonio Spurs,110,1
Indiana Pacers,94,Toronto Raptors,106,0
Miami Heat,100,Utah Jazz,95,0
Los Angeles Clippers,96,Washington Wizards,104,0
Brooklyn Nets,114,Charlotte Hornets,87,0
Golden State Warriors,105,Dallas Mavericks,98,0
Denver Nuggets,96,Houston Rockets,108,0
Portland Trail Blazers,95,Indiana Pacers,85,0
Los Angeles Clippers,106,Milwaukee Bucks,111,0
Atlanta Hawks,99,Orlando Magic,100,0
Memphis Grizzlies,120,Philadelphia 76ers,115,1
Detroit Pistons,95,Sacramento Kings,90,0
San Antonio Spurs,99,Denver Nuggets,91,0
Chicago Bulls,93,Miami Heat,75,0
Los Angeles Lakers,100,Minnesota Timberwolves,94,0
Golden State Warriors,128,New Orleans Pelicans,122,1
Toronto Raptors,95,New York Knicks,90,1
Phoenix Suns,88,Oklahoma City Thunder,112,0
Utah Jazz,84,Washington Wizards,93,0
Chicago Bulls,86,Atlanta Hawks,93,0
Charlotte Hornets,88,Cleveland Cavaliers,97,0
Los Angeles Lakers,91,Indiana Pacers,110,0
Detroit Pistons,91,Los Angeles Clippers,113,0
Boston Celtics,105,Philadelphia 76ers,87,0
Milwaukee Bucks,96,Phoenix Suns,94,0
San Antonio Spurs,95,Portland Trail Blazers,108,0
Orlando Magic,82,Toronto Raptors,95,0
Miami Heat,95,Brooklyn Nets,91,0
Golden State Warriors,98,Memphis Grizzlies,105,0
Utah Jazz,111,New Orleans Pelicans,119,0
Dallas Mavericks,107,New York Knicks,87,0
Oklahoma City Thunder,104,Sacramento Kings,92,0
Minnesota Timberwolves,95,Washington Wizards,109,0
Orlando Magic,92,Boston Celtics,109,0
Phoenix Suns,111,Charlotte Hornets,106,0
Atlanta Hawks,127,Cleveland Cavaliers,98,0
Houston Rockets,115,Denver Nuggets,111,1
Dallas Mavericks,117,Detroit Pistons,106,0
Indiana Pacers,100,Los Angeles Clippers,102,0
Utah Jazz,105,Miami Heat,87,0
Milwaukee Bucks,97,Portland Trail Blazers,104,0
Memphis Grizzlies,117,San Antonio Spurs,116,3
Brooklyn Nets,89,Toronto Raptors,105,0
New York Knicks,97,Chicago Bulls,103,0
Oklahoma City Thunder,109,Golden State Warriors,114,0
New Orleans Pelicans,99,Houston Rockets,90,0
Milwaukee Bucks,108,Sacramento Kings,107,0
Minnesota Timberwolves,98,Boston Celtics,114,0
Brooklyn Nets,91,Cleveland Cavaliers,95,0
Los Angeles Clippers,106,Denver Nuggets,109,0
Toronto Raptors,110,Detroit Pistons,100,0
Oklahoma City Thunder,104,Los Angeles Lakers,103,0
Chicago Bulls,103,Memphis Grizzlies,97,0
Washington Wizards,105,Miami Heat,103,0
Utah Jazz,101,Orlando Magic,94,0
Charlotte Hornets,109,Philadelphia 76ers,91,0
Portland Trail Blazers,129,San Antonio Spurs,119,3
Utah Jazz,86,Charlotte Hornets,104,0
San Antonio Spurs,93,Dallas Mavericks,99,0
Indiana Pacers,73,Denver Nuggets,76,0
Atlanta Hawks,104,Houston Rockets,97,0
Milwaukee Bucks,102,Los Angeles Clippers,106,0
Portland Trail Blazers,114,New Orleans Pelicans,88,0
Phoenix Suns,99,New York Knicks,90,0
Detroit Pistons,105,Brooklyn Nets,110,0
Memphis Grizzlies,91,Cleveland Cavaliers,105,0
Boston Celtics,84,Miami Heat,100,0
Indiana Pacers,100,Minnesota Timberwolves,96,0
New Orleans Pelicans,101,Oklahoma City Thunder,99,0
Philadelphia 76ers,96,Orlando Magic,88,0
Los Angeles Lakers,101,Sacramento Kings,108,0
New York Knicks,108,Toronto Raptors,118,0
Phoenix Suns,104,Washington Wizards,92,0
Toronto Raptors,120,Chicago Bulls,129,0
Denver Nuggets,82,Charlotte Hornets,110,0
Atlanta Hawks,105,Dallas Mavericks,102,0
Sacramento Kings,108,Golden State Warriors,128,0
Portland Trail Blazers,95,Houston Rockets,110,0
Utah Jazz,97,Memphis Grizzlies,91,0
Los Angeles Clippers,118,San Antonio Spurs,125,0
Los Angeles Clippers,104,Atlanta Hawks,107,0
Denver Nuggets,96,Brooklyn Nets,102,0
Minnesota Timberwolves,104,Cleveland Cavaliers,125,0
New Orleans Pelicans,84,Indiana Pacers,96,0
Golden State Warriors,105,Los Angeles Lakers,115,0
Philadelphia 76ers,91,Miami Heat,87,0
Charlotte Hornets,108,Milwaukee Bucks,101,0
Portland Trail Blazers,115,Oklahoma City Thunder,111,1
Boston Celtics,95,Orlando Magic,100,0
Dallas Mavericks,115,Phoenix Suns,124,0
Chicago Bulls,99,Washington Wizards,91,0
Los Angeles Lakers,93,Chicago Bulls,113,0
Golden State Warriors,86,Los Angeles Clippers,100,0
Cleveland Cavaliers,91,Miami Heat,101,0
Washington Wizards,102,New York Knicks,91,0
Oklahoma City Thunder,114,San Antonio Spurs,106,0
Milwaukee Bucks,107,Atlanta Hawks,77,0
Brooklyn Nets,109,Boston Celtics,107,0
Los Angeles Lakers,98,Dallas Mavericks,102,0
Minnesota Timberwolves,102,Denver Nuggets,106,0
Indiana Pacers,109,Detroit Pistons,119,0
Houston Rockets,117,Memphis Grizzlies,111,1
San Antonio Spurs,90,New Orleans Pelicans,97,0
Charlotte Hornets,75,Oklahoma City Thunder,98,0
Cleveland Cavaliers,98,Orlando Magic,89,0
Philadelphia 76ers,93,Portland Trail Blazers,114,0
Phoenix Suns,115,Sacramento Kings,106,0
Indiana Pacers,110,Brooklyn Nets,85,0
New Orleans Pelicans,100,Chicago Bulls,107,0
Orlando Magic,102,Charlotte Hornets,94,0
Minnesota Timberwolves,97,Golden State Warriors,110,0
Toronto Raptors,110,Los Angeles Clippers,98,0
Memphis Grizzlies,103,Miami Heat,95,0
Atlanta Hawks,90,Milwaukee Bucks,85,0
New York Knicks,129,Sacramento Kings,135,1
Philadelphia 76ers,71,Utah Jazz,88,0
Boston Celtics,88,Washington Wizards,101,0
Detroit Pistons,103,Cleveland Cavaliers,80,0
Oklahoma City Thunder,107,Dallas Mavericks,112,0
Toronto Raptors,116,Denver Nuggets,102,0
Phoenix Suns,116,Los Angeles Lakers,107,0
New York Knicks,79,Portland Trail Blazers,101,0
Houston Rockets,106,San Antonio Spurs,110,0
Sacramento Kings,99,Brooklyn Nets,107,0
Milwaukee Bucks,104,Charlotte Hornets,94,1
Washington Wizards,104,Houston Rockets,103,0
Chicago Bulls,92,Indiana Pacers,90,0
Utah Jazz,97,Los Angeles Clippers,101,0
Orlando Magic,102,Miami Heat,101,0
Cleveland Cavaliers,101,Atlanta Hawks,109,0
Brooklyn Nets,96,Chicago Bulls,82,0
Washington Wizards,87,Dallas Mavericks,114,0
Los Angeles Lakers,111,Denver Nuggets,103,0
Philadelphia 76ers,86,Golden State Warriors,126,0
San Antonio Spurs,87,Memphis Grizzlies,95,0
Phoenix Suns,106,New Orleans Pelicans,110,0
Detroit Pistons,109,Orlando Magic,86,0
Toronto Raptors,97,Portland Trail Blazers,102,1
Minnesota Timberwolves,94,Utah Jazz,100,0
Sacramento Kings,84,Boston Celtics,106,0
Milwaukee Bucks,96,Cleveland Cavaliers,80,0
Charlotte Hornets,83,Houston Rockets,102,0
Miami Heat,95,Indiana Pacers,106,0
New York Knicks,78,Los Angeles Clippers,99,0
Phoenix Suns,134,Oklahoma City Thunder,137,1
New Orleans Pelicans,93,San Antonio Spurs,95,1
Denver Nuggets,101,Chicago Bulls,106,0
Sacramento Kings,110,Minnesota Timberwolves,107,0
Dallas Mavericks,119,Boston Celtics,101,0
Cleveland Cavaliers,91,Charlotte Hornets,87,0
Toronto Raptors,105,Golden State Warriors,126,0
Memphis Grizzlies,109,Los Angeles Lakers,106,0
Indiana Pacers,94,Milwaukee Bucks,91,0
Houston Rockets,83,New Orleans Pelicans,111,0
Detroit Pistons,97,New York Knicks,81,0
Washington Wizards,102,Oklahoma City Thunder,109,0
Brooklyn Nets,100,Orlando Magic,98,0
