away_team,away_points,home_team,home_points,n_ot
Los Angeles Lakers,113,Philadelphia 76ers,111,1
Phoenix Suns,86,Portland Trail Blazers,109,0
Houston Rockets,96,Toronto Raptors,99,0
Indiana Pacers,106,Brooklyn Nets,111,0
Atlanta Hawks,95,Detroit Pistons,105,0
Golden State Warriors,110,Los Angeles Clippers,106,0
San Antonio Spurs,95,Miami Heat,81,0
Indiana Pacers,87,Boston Celtics,100,0
Detroit Pistons,78,Charlotte Hornets,102,0
Sacramento Kings,111,Houston Rockets,115,0
New Orleans Pelicans,113,Los Angeles Lakers,92,0
Chicago Bulls,91,Milwaukee Bucks,95,0
Toronto Raptors,113,Minnesota Timberwolves,99,0
Brooklyn Nets,100,New York Knicks,98,0
Dallas Mavericks,135,Oklahoma City Thunder,131,0
San Antonio Spurs,103,Orlando Magic,91,0
Los Angeles Clippers,126,Portland Trail Blazers,122,0
Denver Nuggets,84,Utah Jazz,98,0
Philadelphia 76ers,93,Washington Wizards,106,0
Miami Heat,88,Cleveland Cavaliers,114,0
Houston Rockets,108,Dallas Mavericks,101,0
Phoenix Suns,106,Golden State Warriors,107,0
Milwaukee Bucks,110,Boston Celtics,101,0
Toronto Raptors,109,Brooklyn Nets,114,0
Detroit Pistons,82,Chicago Bulls,88,0
Charlotte Hornets,74,Indiana Pacers,93,0
Portland Trail Blazers,107,Los Angeles Lakers,77,0
Oklahoma City Thunder,92,Memphis Grizzlies,100,0
Orlando Magic,97,Minnesota Timberwolves,84,0
New Orleans Pelicans,101,Sacramento Kings,95,0
Denver Nuggets,93,San Antonio Spurs,123,0
New York Knicks,87,Washington Wizards,101,0
Brooklyn Nets,99,Atlanta Hawks,131,0
Philadelphia 76ers,91,Charlotte Hornets,92,0
Golden State Warriors,123,Dallas Mavericks,110,0
Los Angeles Clippers,107,Denver Nuggets,92,0
Miami Heat,98,Detroit Pistons,99,0
Washington Wizards,92,Memphis Grizzlies,83,0
Orlando Magic,97,Milwaukee Bucks,90,0
Utah Jazz,85,Phoenix Suns,87,0
New Orleans Pelicans,90,Portland Trail Blazers,99,0
Boston Celtics,117,Toronto Raptors,116,1
Chicago Bulls,94,Cleveland Cavaliers,99,0
Miami Heat,89,Indiana Pacers,112,0
Los Angeles Clippers,106,Los Angeles Lakers,78,0
Philadelphia 76ers,91,New York Knicks,101,0
Houston Rockets,115,Oklahoma City Thunder,112,0
Utah Jazz,101,Sacramento Kings,95,0
Golden State Warriors,92,San Antonio Spurs,107,0
Portland Trail Blazers,96,Brooklyn Nets,106,0
Phoenix Suns,69,Atlanta Hawks,96,0
Los Angeles Lakers,100,Los Angeles Clippers,105,0
Charlotte Hornets,100,Miami Heat,105,0
Golden State Warriors,100,New Orleans Pelicans,103,0
San Antonio Spurs,113,Oklahoma City Thunder,88,0
Minnesota Timberwolves,111,Sacramento Kings,116,0
Atlanta Hawks,114,Brooklyn Nets,111,0
Toronto Raptors,92,Charlotte Hornets,74,0
Phoenix Suns,104,Dallas Mavericks,107,0
Los Angeles Lakers,101,Denver Nuggets,119,0
Boston Celtics,113,Detroit Pistons,103,0
New Orleans Pelicans,74,Memphis Grizzlies,110,0
Cleveland Cavaliers,104,Milwaukee Bucks,99,0
Indiana Pacers,102,New York Knicks,86,0
Chicago Bulls,103,Orlando Magic,105,0
Washington Wizards,119,Philadelphia 76ers,90,0
Minnesota Timberwolves,91,Portland Trail Blazers,116,0
Houston Rockets,98,San Antonio Spurs,110,0
Sacramento Kings,91,Utah Jazz,103,0
Portland Trail Blazers,105,Golden State Warriors,116,0
Chicago Bulls,89,Miami Heat,78,0
Charlotte Hornets,80,Atlanta Hawks,104,0
Washington Wizards,80,Brooklyn Nets,117,0
Boston Celtics,99,Cleveland Cavaliers,90,0
Dallas Mavericks,144,Denver Nuggets,143,2
Indiana Pacers,107,Detroit Pistons,103,0
San Antonio Spurs,104,Houston Rockets,103,0
Minnesota Timberwolves,98,Los Angeles Lakers,106,0
Phoenix Suns,75,New Orleans Pelicans,90,0
Milwaukee Bucks,99,New York Knicks,91,0
Sacramento Kings,103,Oklahoma City Thunder,116,0
Toronto Raptors,101,Orlando Magic,99,0
Memphis Grizzlies,89,Utah Jazz,88,0
Philadelphia 76ers,107,Chicago Bulls,114,0
Minnesota Timberwolves,101,Golden State Warriors,110,0
Memphis Grizzlies,86,Los Angeles Clippers,94,0
Toronto Raptors,107,Miami Heat,104,0
New York Knicks,80,Orlando Magic,79,0
Utah Jazz,111,Portland Trail Blazers,105,0
Cleveland Cavaliers,78,Boston Celtics,117,0
Sacramento Kings,111,Denver Nuggets,122,0
Charlotte Hornets,77,Detroit Pistons,116,0
New Orleans Pelicans,114,Houston Rockets,121,0
Oklahoma City Thunder,104,Indiana Pacers,116,0
Dallas Mavericks,120,Los Angeles Lakers,106,0
Brooklyn Nets,73,Milwaukee Bucks,96,0
Phoenix Suns,91,San Antonio Spurs,107,0
Atlanta Hawks,99,Washington Wizards,108,0
New York Knicks,112,Atlanta Hawks,108,0
Chicago Bulls,113,Brooklyn Nets,86,0
Houston Rockets,100,Charlotte Hornets,90,0
Detroit Pistons,97,Cleveland Cavaliers,109,0
Memphis Grizzlies,107,Golden State Warriors,111,0
Denver Nuggets,103,Los Angeles Clippers,110,0
Orlando Magic,93,Miami Heat,100,0
New Orleans Pelicans,100,Minnesota Timberwolves,88,0
Portland Trail Blazers,90,Oklahoma City Thunder,101,0
Milwaukee Bucks,107,Philadelphia 76ers,97,0
Los Angeles Lakers,92,Sacramento Kings,102,0
Dallas Mavericks,92,Utah Jazz,109,0
Toronto Raptors,93,Boston Celtics,95,0
Washington Wizards,95,Indiana Pacers,99,2
Los Angeles Clippers,112,Phoenix Suns,101,0
Orlando Magic,88,Brooklyn Nets,101,0
Atlanta Hawks,85,Chicago Bulls,91,0
Washington Wizards,108,Cleveland Cavaliers,113,1
Portland Trail Blazers,98,Dallas Mavericks,114,0
Denver Nuggets,126,Golden State Warriors,133,0
Utah Jazz,91,Houston Rockets,117,0
Sacramento Kings,122,Los Angeles Lakers,99,0
Indiana Pacers,83,Memphis Grizzlies,95,0
Boston Celtics,105,Milwaukee Bucks,100,0
Oklahoma City Thunder,138,Minnesota Timberwolves,113,0
San Antonio Spurs,103,New Orleans Pelicans,108,0
Detroit Pistons,112,New York Knicks,90,0
Miami Heat,105,Philadelphia 76ers,101,0
Charlotte Hornets,87,Toronto Raptors,92,0
